"bioid","chamber","first_name","last_name","party","dw_nominate","seniority","state","state_name","district","followersCount","screen_name","user_id","platform","gender","birthday","age"
"B001250","House","Rob","Bishop","R",0.793,12,"UT","Utah",1,NA,"RepRobBishop",130802746950682,"facebook","M","1951-07-13",63
"B001251","House","G.","Butterfield","D",-0.385,12,"NC","North Carolina",1,NA,"congressmangkbutterfield",274687979233940,"facebook","M","1947-04-27",67
"B001255","House","Charles","Boustany Jr.","R",0.666,10,"LA","Louisiana",3,NA,"RepBoustany",197407646951718,"facebook","M","1956-02-21",58
"B001257","House","Gus","Bilirakis","R",0.583,10,"FL","Florida",12,NA,"GusBilirakis",135445766485586,"facebook","M","1963-02-08",51
"B001260","House","Vern","Buchanan","R",0.603,8,"FL","Florida",16,NA,"CongressmanBuchanan",67106719910,"facebook","M","1951-05-08",63
"B001261","Senate","John","Barrasso","R",0.653,7,"WY","Wyoming",NA,NA,"johnbarrasso",21146775942,"facebook","M","1952-07-21",62
"B001267","Senate","Michael","Bennet","D",-0.268,5,"CO","Colorado",NA,NA,"senatorbennet",97172997732,"facebook","M","1964-11-28",50
"B001269","House","Lou","Barletta","R",0.393,4,"PA","Pennsylvania",11,NA,"CongressmanLouBarletta",192357174108435,"facebook","M","1956-01-28",58
"B001270","House","Karen","Bass","D",-0.51,4,"CA","California",37,NA,"RepKarenBass",190867440939405,"facebook","F","1953-10-03",61
"B001271","House","Dan","Benishek","R",0.9,4,"MI","Michigan",1,NA,"CongressmanDan",124163654317596,"facebook","M","1952-04-20",62
"B001273","House","Diane","Black","R",0.728,4,"TN","Tennessee",6,NA,"DianeBlackTN06",186436274719648,"facebook","F","1951-01-16",63
"B001274","House","Mo","Brooks","R",0.818,4,"AL","Alabama",5,NA,"155220881193244",155220881193244,"facebook","M","1954-04-29",60
"B001275","House","Larry","Bucshon","R",0.61,4,"IN","Indiana",8,NA,"RepLarryBucshon",135670516492974,"facebook","M","1962-05-31",52
"B001277","Senate","Richard","Blumenthal","D",-0.461,3,"CT","Connecticut",NA,NA,"SenBlumenthal",289987304364966,"facebook","M","1946-02-13",68
"B001278","House","Suzanne","Bonamici","D",-0.417,4,"OR","Oregon",1,NA,"congresswomanbonamici",252633384817156,"facebook","F","1954-10-14",60
"B001281","House","Joyce","Beatty","D",-0.444,2,"OH","Ohio",3,NA,"RepJoyceBeatty",656884781042633,"facebook","F","1950-03-12",64
"B001282","House","Andy","Barr","R",0.767,2,"KY","Kentucky",6,NA,"RepAndyBarr",457461137635018,"facebook","M","1973-07-24",41
"B001283","House","Jim","Bridenstine","R",0.982,2,"OK","Oklahoma",1,NA,"CongressmanJimBridenstine",460003650715961,"facebook","M","1975-06-15",39
"B001284","House","Susan","Brooks","R",0.644,2,"IN","Indiana",5,NA,"congresswomansusanwbrooks",517697358277175,"facebook","F","1960-08-25",54
"B001286","House","Cheri","Bustos","D",-0.215,2,"IL","Illinois",17,NA,"RepCheri",581909665168588,"facebook","F","1961-10-17",53
"B001287","House","Ami","Bera","D",-0.207,2,"CA","California",7,NA,"RepAmiBera",528662157146886,"facebook","M","1965-03-02",49
"B001289","House","Bradley","Byrne","R",NA,2,"AL","Alabama",1,NA,"RepByrne",1374832002773142,"facebook","M","1955-02-16",59
"C000059","House","Ken","Calvert","R",0.548,22,"CA","California",42,NA,"70063393423",70063393423,"facebook","M","1953-06-08",61
"C000141","Senate","Benjamin","Cardin","D",-0.455,7,"MD","Maryland",NA,NA,"senatorbencardin",120421834675191,"facebook","M","1943-10-05",71
"C000174","Senate","Thomas","Carper","D",-0.28,13,"DE","Delaware",NA,NA,"tomcarper",124891107521733,"facebook","M","1947-01-23",67
"C000266","House","Steven","Chabot","R",0.837,4,"OH","Ohio",1,NA,"RepSteveChabot",204705339555378,"facebook","M","1953-01-22",61
"C000537","House","James","Clyburn","D",-0.382,22,"SC","South Carolina",6,NA,"jameseclyburn",127744320598870,"facebook","M","1940-07-21",74
"C000542","Senate","Daniel","Coats","R",0.491,3,"IN","Indiana",NA,NA,"180671148633644",180671148633644,"facebook","M","1943-05-16",71
"C000714","House","John","Conyers Jr.","D",-0.583,50,"MI","Michigan",13,NA,"CongressmanConyers",206947066849,"facebook","M","1929-05-16",85
"C000754","House","Jim","Cooper","D",-0.269,12,"TN","Tennessee",5,NA,"JimCooper",6627436391,"facebook","M","1954-06-19",60
"C000880","Senate","Michael","Crapo","R",0.727,15,"ID","Idaho",NA,NA,"mikecrapo",80335332266,"facebook","M","1951-05-20",63
"C000984","House","Elijah","Cummings","D",-0.442,20,"MD","Maryland",7,NA,"elijahcummings",291368465380,"facebook","M","1951-01-18",63
"C001035","Senate","Susan","Collins","R",0.04,17,"ME","Maine",NA,NA,"susancollins",7593313361,"facebook","F","1952-12-07",62
"C001036","House","Lois","Capps","D",-0.448,18,"CA","California",24,NA,"loiscapps",168989481141,"facebook","F","1938-01-10",76
"C001037","House","Michael","Capuano","D",-0.553,16,"MA","Massachusetts",7,NA,"RepMichaelCapuano",151168844937573,"facebook","M","1952-01-09",62
"C001038","House","Joseph","Crowley","D",-0.423,16,"NY","New York",14,NA,"repjoecrowley",176197712425090,"facebook","M","1962-03-16",52
"C001045","House","Ander","Crenshaw","R",0.487,14,"FL","Florida",4,NA,"200388204657",200388204657,"facebook","M","1944-09-01",70
"C001047","House","Shelley","Capito","R",0.53,14,"WV","West Virginia",2,NA,"senshelley",8057864757,"facebook","F","1953-11-26",61
"C001049","House","William","Clay","D",-0.488,14,"MO","Missouri",1,NA,"109135405838588",109135405838588,"facebook","M","1956-07-27",58
"C001051","House","John","Carter","R",0.499,12,"TX","Texas",31,NA,"judgecarter",407767916003589,"facebook","M","1941-11-06",73
"C001053","House","Tom","Cole","R",0.424,12,"OK","Oklahoma",4,NA,"TomColeOK04",146497782066300,"facebook","M","1949-04-28",65
"C001056","Senate","John","Cornyn","R",0.655,11,"TX","Texas",NA,NA,"sen.johncornyn",75755694423,"facebook","M","1952-02-02",62
"C001059","House","Jim","Costa","D",-0.177,10,"CA","California",16,NA,"RepJimCosta",166497040064181,"facebook","M","1952-04-13",62
"C001061","House","Emanuel","Cleaver II","D",-0.421,10,"MO","Missouri",5,NA,"emanuelcleaverii",7954512692,"facebook","M","1944-10-26",70
"C001062","House","K.","Conaway","R",0.829,10,"TX","Texas",11,NA,"mike.conaway",203482063021985,"facebook","M","1948-06-11",66
"C001063","House","Henry","Cuellar","D",-0.219,10,"TX","Texas",28,NA,"152569121550",152569121550,"facebook","M","1955-09-19",59
"C001066","House","Kathy","Castor","D",-0.401,8,"FL","Florida",14,NA,"USRepKathyCastor",181810465190906,"facebook","F","1966-08-20",48
"C001067","House","Yvette","Clarke","D",-0.565,8,"NY","New York",9,NA,"repyvettedclarke",135031389892682,"facebook","F","1964-11-21",50
"C001068","House","Steve","Cohen","D",-0.432,8,"TN","Tennessee",9,NA,"CongressmanSteveCohen",111456965545421,"facebook","M","1949-05-24",65
"C001069","House","Joe","Courtney","D",-0.339,8,"CT","Connecticut",2,NA,"joecourtney",330408799230,"facebook","M","1953-04-06",61
"C001070","Senate","Bob","Casey","D",-0.357,7,"PA","Pennsylvania",NA,NA,"SenatorBobCasey",107749545944874,"facebook","M","1960-04-13",54
"C001071","Senate","Bob","Corker","R",0.408,7,"TN","Tennessee",NA,NA,"bobcorker",109251415789533,"facebook","M","1952-08-24",62
"C001072","House","André","Carson","D",-0.4,8,"IN","Indiana",7,NA,"CongressmanAndreCarson",123884330964019,"facebook","M","1974-10-16",40
"C001076","House","Jason","Chaffetz","R",0.949,6,"UT","Utah",3,NA,"CongressmanJasonChaffetz",390419731073316,"facebook","M","1967-03-26",47
"C001077","House","Mike","Coffman","R",0.827,6,"CO","Colorado",6,NA,"repmikecoffman",366142384492,"facebook","M","1955-03-19",59
"C001078","House","Gerald","Connolly","D",-0.281,6,"VA","Virginia",11,NA,"CongressmanGerryConnolly",177164035838,"facebook","M","1950-03-30",64
"C001080","House","Judy","Chu","D",-0.508,8,"CA","California",27,NA,"RepJudyChu",41228315130,"facebook","F","1953-07-07",61
"C001083","House","John","Carney","D",-0.242,4,"DE","Delaware",1,NA,"JohnCarneyDE",156024857781159,"facebook","M","1956-05-20",58
"C001084","House","David","Cicilline","D",-0.412,4,"RI","Rhode Island",1,NA,"CongressmanDavidCicilline",186949061341027,"facebook","M","1961-07-15",53
"C001087","House","Rick","Crawford","R",0.478,4,"AR","Arkansas",1,NA,"RepRickCrawford",143344975723788,"facebook","M","1966-01-22",48
"C001088","Senate","Christopher","Coons","D",-0.369,5,"DE","Delaware",NA,NA,"senatorchriscoons",254950754518205,"facebook","M","1963-09-09",51
"C001090","House","Matt","Cartwright","D",-0.469,2,"PA","Pennsylvania",17,NA,"CongressmanMattCartwright",248507065275406,"facebook","M","1961-05-01",53
"C001091","House","Joaquin","Castro","D",-0.383,2,"TX","Texas",20,NA,"326420614138023",326420614138023,"facebook","M","1974-09-16",40
"C001092","House","Chris","Collins","R",0.527,2,"NY","New York",27,NA,"RepChrisCollins",467047586692268,"facebook","M","1950-05-20",64
"C001093","House","Doug","Collins","R",0.93,2,"GA","Georgia",9,NA,"RepresentativeDougCollins",505646972800006,"facebook","M","1966-08-16",48
"C001094","House","Paul","Cook","R",0.527,2,"CA","California",8,NA,"RepPaulCook",464458413604093,"facebook","M","1943-03-03",71
"C001095","House","Tom","Cotton","R",0.954,2,"AR","Arkansas",4,NA,"SenatorTomCotton",120355701459307,"facebook","M","1977-05-13",37
"C001096","House","Kevin","Cramer","R",0.419,2,"ND","North Dakota",1,NA,"CongressmanKevinCramer",498751820147706,"facebook","M","1961-01-21",53
"C001097","House","Tony","Cardenas","D",-0.373,2,"CA","California",29,NA,"repcardenas",485493954794945,"facebook","M","1963-03-31",51
"C001098","Senate","Ted","Cruz","R",0.962,1,"TX","Texas",NA,NA,"SenatorTedCruz",315496455229328,"facebook","M","1970-12-22",44
"C001101","House","Katherine","Clark","D",NA,2,"MA","Massachusetts",5,NA,"CongresswomanClark",1408040802774787,"facebook","F","1963-07-17",51
"D000096","House","Danny","Davis","D",-0.468,18,"IL","Illinois",7,NA,"280757931935749",280757931935749,"facebook","M","1941-09-06",73
"D000191","House","Peter","DeFazio","D",-0.526,28,"OR","Oregon",4,NA,"RepPeterDeFazio",94324364811,"facebook","M","1947-05-27",67
"D000197","House","Diana","DeGette","D",-0.414,18,"CO","Colorado",1,NA,"DianaDeGette",110757973488,"facebook","F","1957-07-29",57
"D000216","House","Rosa","DeLauro","D",-0.447,24,"CT","Connecticut",3,NA,"CongresswomanRosaDeLauro",181302611907634,"facebook","F","1943-03-02",71
"D000399","House","Lloyd","Doggett","D",-0.429,20,"TX","Texas",35,NA,"lloyddoggett",154050553704,"facebook","M","1946-10-06",68
"D000482","House","Mike","Doyle","D",-0.416,20,"PA","Pennsylvania",14,NA,"usrepmikedoyle",79663724861,"facebook","M","1953-08-05",61
"D000533","House","John","Duncan Jr.","R",1.083,28,"TN","Tennessee",2,NA,"CongressmanDuncan",102385999834718,"facebook","M","1947-07-21",67
"D000563","Senate","Richard","Durbin","D",-0.511,17,"IL","Illinois",NA,NA,"SenatorDurbin",180436795325335,"facebook","M","1944-11-21",70
"D000598","House","Susan","Davis","D",-0.338,14,"CA","California",53,NA,"RepSusanDavis",103767526332478,"facebook","F","1944-04-13",70
"D000600","House","Mario","Diaz-Balart","R",0.333,12,"FL","Florida",25,NA,"mdiazbalart",119538428117878,"facebook","M","1961-09-25",53
"D000604","House","Charlie","Dent","R",0.518,10,"PA","Pennsylvania",15,NA,"CongressmanDent",69862092533,"facebook","M","1960-05-24",54
"D000607","Senate","Joe","Donnelly","D",-0.198,1,"IN","Indiana",NA,NA,"senatordonnelly",168059529893610,"facebook","M","1955-09-28",59
"D000610","House","Ted","Deutch","D",-0.403,6,"FL","Florida",21,NA,"CongressmanTedDeutch",112179098816942,"facebook","M","1966-05-07",48
"D000612","House","Jeffrey","Denham","R",0.652,4,"CA","California",10,NA,"RepJeffDenham",133714040028137,"facebook","M","1967-07-29",47
"D000614","House","Sean","Duffy","R",0.805,4,"WI","Wisconsin",7,NA,"RepSeanDuffy",119657691436457,"facebook","M","1971-10-03",43
"D000615","House","Jeffrey","Duncan","R",0.959,4,"SC","South Carolina",3,NA,"RepJeffDuncan",187268144624279,"facebook","M","1966-01-07",48
"D000616","House","Scott","DesJarlais","R",0.733,4,"TN","Tennessee",4,NA,"ScottDesJarlaisTN04",145110472209094,"facebook","M","1964-02-21",50
"D000617","House","Suzan","DelBene","D",-0.272,4,"WA","Washington",1,NA,"RepDelBene",483962224987343,"facebook","F","1962-02-17",52
"D000618","House","Steve","Daines","R",0.712,2,"MT","Montana",1,NA,"SteveDainesMT",185361254941832,"facebook","M","1962-08-20",52
"D000619","House","Rodney","Davis","R",0.726,2,"IL","Illinois",13,NA,"RepRodneyDavis",323631667743052,"facebook","M","1970-01-05",44
"D000620","House","John","Delaney","D",-0.302,2,"MD","Maryland",6,NA,"congressmanjohndelaney",324527257655694,"facebook","M","1963-04-16",51
"D000621","House","Ron","DeSantis","R",0.913,2,"FL","Florida",6,NA,"RepDeSantis",464253846966014,"facebook","M","1978-09-14",36
"D000622","House","Tammy","Duckworth","D",-0.274,2,"IL","Illinois",8,NA,"CongresswomanTammyDuckworth",112300955610529,"facebook","F","1968-03-12",46
"E000179","House","Eliot","Engel","D",-0.339,26,"NY","New York",16,NA,"RepEliotLEngel",103355984852,"facebook","M","1947-02-18",67
"E000215","House","Anna","Eshoo","D",-0.381,22,"CA","California",18,NA,"RepAnnaEshoo",174979964227,"facebook","F","1942-12-13",72
"E000285","Senate","Michael","Enzi","R",0.685,17,"WY","Wyoming",NA,NA,"mikeenzi",23068049436,"facebook","M","1944-02-01",70
"E000288","House","Keith","Ellison","D",-0.569,8,"MN","Minnesota",5,NA,"Keith.Ellison",7997462059,"facebook","M","1963-08-04",51
"E000290","House","Donna","Edwards","D",-0.56,8,"MD","Maryland",4,NA,"107297211756",107297211756,"facebook","F","1958-06-28",56
"E000291","House","Renee","Ellmers","R",0.572,4,"NC","North Carolina",2,NA,"reneeellmers",167641493275000,"facebook","F","1964-02-09",50
"E000293","House","Elizabeth","Esty","D",-0.342,2,"CT","Connecticut",5,NA,"RepEsty",292076514228382,"facebook","F","1959-08-25",55
"F000030","House","Sam","Farr","D",-0.496,22,"CA","California",20,NA,"RepSamFarr",7018136294,"facebook","M","1941-07-04",73
"F000043","House","Chaka","Fattah","D",-0.39,20,"PA","Pennsylvania",2,NA,"repfattah",165961823475034,"facebook","M","1956-11-21",58
"F000062","Senate","Dianne","Feinstein","D",-0.356,21,"CA","California",NA,NA,"senatorfeinstein",334887279867783,"facebook","F","1933-06-22",81
"F000372","House","Rodney","Frelinghuysen","R",0.621,20,"NJ","New Jersey",11,NA,"rfrelinghuysen",191509977669708,"facebook","M","1946-04-29",68
"F000444","Senate","Jeff","Flake","R",0.437,1,"AZ","Arizona",NA,NA,"senatorjeffflake",154010926645,"facebook","M","1962-12-31",52
"F000445","House","J.","Forbes","R",0.602,14,"VA","Virginia",4,NA,"randyforbes",356330225020,"facebook","M","1952-02-17",62
"F000448","House","Trent","Franks","R",0.87,12,"AZ","Arizona",8,NA,"TrentFranks",209486545087,"facebook","M","1957-06-19",57
"F000449","House","Jeff","Fortenberry","R",0.56,10,"NE","Nebraska",1,NA,"jefffortenberry",48426842354,"facebook","M","1960-12-27",54
"F000450","House","Virginia","Foxx","R",0.988,8,"NC","North Carolina",5,NA,"RepVirginiaFoxx",131326196940421,"facebook","F","1943-06-29",71
"F000451","House","Michael","Fitzpatrick","R",0.518,4,"PA","Pennsylvania",8,NA,"RepFitzpatrick",132077153521454,"facebook","M","1963-06-28",51
"F000454","House","Bill","Foster","D",-0.247,2,"IL","Illinois",11,NA,"CongressmanBillFoster",102918290599,"facebook","M","1955-10-07",59
"F000455","House","Marcia","Fudge","D",-0.512,8,"OH","Ohio",11,NA,"RepMarciaLFudge",279006440801,"facebook","F","1952-10-29",62
"F000456","House","John","Fleming","R",0.785,6,"LA","Louisiana",4,NA,"repjohnfleming",372154186772,"facebook","M","1951-07-05",63
"F000458","House","Stephen","Fincher","R",0.756,4,"TN","Tennessee",8,NA,"RepFincherTN08",128861763849209,"facebook","M","1973-02-07",41
"F000459","House","Chuck","Fleischmann","R",0.656,4,"TN","Tennessee",3,NA,"repchuck",189998554345168,"facebook","M","1962-10-11",52
"F000460","House","Blake","Farenthold","R",0.733,4,"TX","Texas",27,NA,"BlakeFarenthold",186894244673001,"facebook","M","1961-12-12",53
"F000461","House","Bill","Flores","R",0.801,4,"TX","Texas",17,NA,"RepBillFlores",146176682102245,"facebook","M","1954-02-25",60
"F000462","House","Lois","Frankel","D",-0.438,2,"FL","Florida",22,NA,"RepLoisFrankel",138220153003017,"facebook","F","1948-05-16",66
"F000463","Senate","Deb","Fischer","R",0.559,1,"NE","Nebraska",NA,NA,"senatordebfischer",531623656856934,"facebook","F","1951-03-01",63
"G000289","House","Robert","Goodlatte","R",0.789,22,"VA","Virginia",6,NA,"BobGoodlatte",6459789414,"facebook","M","1952-09-22",62
"G000359","Senate","Lindsey","Graham","R",0.403,11,"SC","South Carolina",NA,NA,"USSenatorLindseyGraham",257937783228,"facebook","M","1955-07-09",59
"G000377","House","Kay","Granger","R",0.621,18,"TX","Texas",12,NA,"RepKayGranger",49640749719,"facebook","F","1943-01-18",71
"G000386","Senate","Charles","Grassley","R",0.501,33,"IA","Iowa",NA,NA,"grassley",106480645796,"facebook","M","1933-09-17",81
"G000410","House","Gene","Green","D",-0.316,22,"TX","Texas",29,NA,"RepGeneGreen",128735131872,"facebook","M","1947-10-17",67
"G000535","House","Luis","Gutierrez","D",-0.495,22,"IL","Illinois",4,NA,"RepGutierrez",91052833204,"facebook","M","1953-12-10",61
"G000546","House","Sam","Graves","R",0.779,14,"MO","Missouri",6,NA,"118514606128",118514606128,"facebook","M","1963-11-07",51
"G000548","House","Scott","Garrett","R",0.955,12,"NJ","New Jersey",5,NA,"repscottgarrett",6756553401,"facebook","M","1959-07-09",55
"G000551","House","Raúl","Grijalva","D",-0.59,12,"AZ","Arizona",3,NA,"Rep.Grijalva",73539896233,"facebook","M","1948-02-19",66
"G000552","House","Louie","Gohmert","R",1.002,10,"TX","Texas",1,NA,"50375006903",50375006903,"facebook","M","1953-08-18",61
"G000553","House","Al","Green","D",-0.353,10,"TX","Texas",9,NA,"repalgreen",136237609724391,"facebook","M","1947-09-01",67
"G000559","House","John","Garamendi","D",-0.362,6,"CA","California",3,NA,"repgaramendi",182567716746,"facebook","M","1945-01-24",69
"G000560","House","Tom","Graves","R",1,6,"GA","Georgia",14,NA,"reptomgraves",104548906262119,"facebook","M","1970-02-03",44
"G000562","House","Cory","Gardner","R",0.788,4,"CO","Colorado",4,NA,"SenCoryGardner",160924893954206,"facebook","M","1974-08-22",40
"G000563","House","Bob","Gibbs","R",0.621,4,"OH","Ohio",7,NA,"RepBobGibbs",191159267565100,"facebook","M","1954-06-14",60
"G000564","House","Chris","Gibson","R",0.535,4,"NY","New York",19,NA,"RepChrisGibson",190238567659779,"facebook","M","1964-05-13",50
"G000565","House","Paul","Gosar","R",0.767,4,"AZ","Arizona",4,NA,"repgosar",104329699641957,"facebook","M","1958-11-22",56
"G000566","House","Trey","Gowdy","R",0.898,4,"SC","South Carolina",4,NA,"143059759084016",143059759084016,"facebook","M","1964-08-22",50
"G000568","House","Morgan","Griffith","R",0.87,4,"VA","Virginia",9,NA,"RepMorganGriffith",141893975868919,"facebook","M","1958-03-15",56
"G000571","House","Tulsi","Gabbard","D",-0.281,2,"HI","Hawaii",2,NA,"RepTulsiGabbard",392284484191405,"facebook","F","1981-04-12",33
"H000324","House","Alcee","Hastings","D",-0.486,22,"FL","Florida",20,NA,"95696782238",95696782238,"facebook","M","1936-09-05",78
"H000636","House","Rubén","Hinojosa","D",-0.336,18,"TX","Texas",15,NA,"CongressmanRubenHinojosa",402891225161,"facebook","M","1940-08-20",74
"H000874","House","Steny","Hoyer","D",-0.318,34,"MD","Maryland",5,NA,"WhipHoyer",282861997886,"facebook","M","1939-06-14",75
"H001034","House","Michael","Honda","D",-0.551,14,"CA","California",17,NA,"RepMikeHonda",15675385380,"facebook","M","1941-06-27",73
"H001036","House","Jeb","Hensarling","R",0.863,12,"TX","Texas",5,NA,"RepHensarling",7875604788,"facebook","M","1957-05-29",57
"H001038","House","Brian","Higgins","D",-0.384,8,"NY","New York",26,NA,"RepBrianHiggins",88144056440,"facebook","M","1959-10-06",55
"H001041","Senate","Dean","Heller","R",0.46,3,"NV","Nevada",NA,NA,"SenDeanHeller",325751330177,"facebook","M","1960-05-10",54
"H001045","House","Gregg","Harper","R",0.522,6,"MS","Mississippi",3,NA,"GreggHarper",48248435938,"facebook","M","1956-06-01",58
"H001046","Senate","Martin","Heinrich","D",-0.364,1,"NM","New Mexico",NA,NA,"MartinHeinrich",137523189213,"facebook","M","1971-10-17",43
"H001047","House","Jim","Himes","D",-0.254,6,"CT","Connecticut",4,NA,"CongressmanJimHimes",85767418619,"facebook","M","1966-07-05",48
"H001048","House","Duncan","Hunter","R",0.712,6,"CA","California",50,NA,"DuncanHunter",79072979038,"facebook","M","1976-12-07",38
"H001051","House","Richard","Hanna","R",0.593,4,"NY","New York",22,NA,"reprichardhanna",172284859480630,"facebook","M","1951-01-25",63
"H001052","House","Andy","Harris","R",0.88,4,"MD","Maryland",1,NA,"AndyHarrisMD",508912729153334,"facebook","M","1957-01-25",57
"H001053","House","Vicky","Hartzler","R",0.712,4,"MO","Missouri",4,NA,"Congresswoman.Hartzler",183580061667324,"facebook","F","1960-10-13",54
"H001055","House","Joe","Heck","R",0.655,4,"NV","Nevada",3,NA,"RepJoeHeck",155211751194624,"facebook","M","1961-10-30",53
"H001056","House","Jaime","Herrera Beutler","R",0.738,4,"WA","Washington",3,NA,"herrerabeutler",177551525610164,"facebook","F","1978-11-03",36
"H001057","House","Tim","Huelskamp","R",0.989,4,"KS","Kansas",1,NA,"congressmanhuelskamp",165730996804553,"facebook","M","1968-11-11",46
"H001058","House","Bill","Huizenga","R",0.905,4,"MI","Michigan",2,NA,"RepHuizenga",145764842143763,"facebook","M","1969-01-31",45
"H001059","House","Randy","Hultgren","R",0.758,4,"IL","Illinois",14,NA,"RepHultgren",186221644739359,"facebook","M","1966-03-01",48
"H001060","House","Robert","Hurt","R",0.799,4,"VA","Virginia",5,NA,"RepRobertHurt",120068161395562,"facebook","M","1969-06-16",45
"H001061","Senate","John","Hoeven","R",0.404,3,"ND","North Dakota",NA,NA,"SenatorJohnHoeven",194483057244478,"facebook","M","1957-03-13",57
"H001063","House","Janice","Hahn","D",-0.441,4,"CA","California",44,NA,"RepJaniceHahn",256471267712118,"facebook","F","1952-03-30",62
"H001064","House","Denny","Heck","D",-0.33,2,"WA","Washington",10,NA,"CongressmanDennyHeck",547907568553615,"facebook","M","1952-07-29",62
"H001065","House","George","Holding","R",0.886,2,"NC","North Carolina",13,NA,"CongressmanGeorgeHolding",384164668340890,"facebook","M","1968-04-17",46
"H001067","House","Richard","Hudson","R",0.969,2,"NC","North Carolina",8,NA,"RepRichHudson",212153802255530,"facebook","M","1971-11-04",43
"H001068","House","Jared","Huffman","D",-0.469,2,"CA","California",2,NA,"RepHuffman",200227780116038,"facebook","M","1964-02-18",50
"H001069","Senate","Heidi","Heitkamp","D",-0.292,1,"ND","North Dakota",NA,NA,"SenatorHeidiHeitkamp",501810613175643,"facebook","F","1955-10-30",59
"I000024","Senate","James","Inhofe","R",0.768,21,"OK","Oklahoma",NA,NA,"jiminhofe",55018309421,"facebook","M","1934-11-17",80
"I000056","House","Darrell","Issa","R",0.84,14,"CA","California",49,NA,"darrellissa",19463427992,"facebook","M","1953-11-01",61
"I000057","House","Steve","Israel","D",-0.358,14,"NY","New York",3,NA,"RepSteveIsrael",110262982315,"facebook","M","1958-05-30",56
"J000032","House","Sheila","Jackson-Lee","D",-0.462,20,"TX","Texas",18,NA,"169479190984",169479190984,"facebook","F","1950-01-12",64
"J000126","House","Eddie","Johnson","D",-0.447,22,"TX","Texas",30,NA,"CongresswomanEBJtx30",84096022067,"facebook","F","1935-12-03",79
"J000174","House","Sam","Johnson","R",0.775,24,"TX","Texas",3,NA,"RepSamJohnson",52454091867,"facebook","M","1930-10-11",84
"J000255","House","Walter","Jones","R",0.054,20,"NC","North Carolina",3,NA,"15083070102",15083070102,"facebook","M","1943-02-10",71
"J000288","House","Hank","Johnson","D",-0.425,8,"GA","Georgia",4,NA,"115356957005",115356957005,"facebook","M","1954-10-02",60
"J000289","House","Jim","Jordan","R",0.893,8,"OH","Ohio",4,NA,"repjimjordan",35499336459,"facebook","M","1964-02-17",50
